voltage,current
2.8,146.2
2.9,155.6
3,162.2
3.1,165.8
3.2,165.9
3.3,163.9
3.4,161.5
3.5,159.1
3.6,153.2
3.7,150.7
3.8,148.9
3.9,147.2
4,145.1
4.1,143.8
4.2,142.4
4.3,141
4.4,140
4.5,139
